Player,B,Age,PO,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
CJ Alexander,L,28,3B,53,46,3,9,0,0,0,3,7,16,2,1
Rob Brantly,L,35,C,4,4,0,1,0,0,0,0,0,0,0,0
Max Burt,R,28,2B,14,12,2,3,0,1,0,1,2,4,0,0
Jeimer Candelario,B,31,3B,256,227,30,46,14,0,7,31,25,75,0,1
Brennen Davis,R,25,LF,142,125,19,31,5,0,12,30,11,44,1,0
Bryan De La Cruz,R,28,RF,368,329,46,89,14,1,15,48,32,89,8,1
Edinson Duran,R,22,C,14,13,3,4,1,0,0,0,0,4,1,0
Duke Ellis,L,27,LF,192,171,31,55,14,1,3,22,14,49,36,7
J.C. Escarra,L,30,C,133,110,16,33,3,1,2,20,18,23,2,1
Rafael Flores,R,24,C,49,38,3,8,0,0,1,4,11,13,0,0
Jake Gatewood,R,29,2B,125,109,14,19,4,0,5,17,12,43,3,2
Ronaldo Hernandez,R,27,C,88,77,7,17,4,0,2,13,8,19,1,0
Cooper Hummel,B,30,LF,41,31,6,8,1,0,0,2,9,8,1,1
Alex Jackson,R,29,C,185,164,31,37,7,1,10,34,19,53,1,1
Spencer Jones,L,24,CF,298,263,60,72,15,1,19,48,26,109,19,4
DJ LeMahieu,R,36,2B,12,11,1,5,0,0,0,1,1,1,0,1
Nicky Lopez,L,30,2B,65,57,9,15,2,1,0,6,7,11,4,0
Omar Martinez,L,23,C,88,75,10,15,1,1,1,9,11,37,0,0
Ismael Munguia,L,26,CF,315,281,42,69,11,2,4,31,22,25,23,7
Everson Pereira,R,24,CF,314,268,68,68,9,1,19,52,38,90,9,1
Grant Richardson,L,25,RF,48,40,8,11,4,0,2,8,6,18,0,1
Jesus Rodriguez,R,23,C,362,309,54,98,14,3,5,41,46,55,16,8
Jose Rojas,L,32,LF,517,446,77,128,35,4,32,105,65,108,15,2
T.J. Rumfield,L,25,1B,587,499,85,142,31,1,16,87,70,108,5,2
Braden Shewmake,L,27,SS,315,279,41,68,13,4,4,29,30,52,15,2
Austin Slater,R,32,LF,18,14,3,3,0,0,0,0,4,4,0,0
Dominic Smith,L,30,LF,189,165,26,42,6,1,8,28,20,30,4,0
Andrew Velazquez,B,30,SS,368,330,49,80,19,0,5,41,28,93,25,4
Jorbit Vivas,L,24,2B,459,374,59,101,21,1,4,43,64,45,12,9
