Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Mike Antico,L,27,381,326,53,91,21,2,7,57,42,94,21,4
Luken Baker,R,28,265,224,29,44,15,0,10,34,36,71,0,0
Jose Barrero,R,27,101,87,15,26,5,1,4,13,14,27,5,1
Nathan Church,L,24,242,215,43,72,11,4,7,30,24,25,9,4
Gavin Collins,R,29,299,263,32,58,10,2,2,29,28,32,4,1
Jimmy Crooks,L,23,430,390,61,107,21,1,14,79,36,114,0,0
Jose Ferman,R,26,293,237,47,71,23,0,7,40,45,25,20,5
Michael Helman,R,29,73,65,12,12,4,0,1,5,6,16,1,0
Ivan Herrera,R,25,30,30,6,13,2,0,1,5,0,8,2,0
Blaze Jordan,R,22,186,172,21,34,6,1,7,37,10,22,2,0
Matt Koperniak,L,27,536,479,71,118,19,2,14,65,48,103,9,3
Carlos Linarez,R,23,11,10,2,2,0,0,2,3,1,5,0,0
Matt Lloyd,L,29,317,272,39,74,18,1,8,50,41,77,7,3
Noah Mendlinger,L,24,102,83,15,24,6,2,1,10,11,8,2,2
Brody Moore,R,24,221,197,28,47,7,1,2,27,17,49,6,0
Yohel Pozo,R,28,21,21,7,7,3,0,2,6,0,2,1,0
Cesar Prieto,L,26,515,460,79,138,35,4,9,71,39,70,12,14
Thomas Saggese,R,23,189,164,34,52,6,0,5,24,23,45,5,4
Michael Siani,L,25,430,368,64,77,12,4,8,41,50,106,28,5
Wade Stauss,L,26,4,4,0,0,0,0,0,0,0,4,0,0
Bryan Torres,L,27,414,332,58,109,16,1,9,51,70,57,26,6
Ryan Vilade,R,26,192,164,33,46,11,3,5,31,24,38,5,1
Jordan Walker,R,23,17,16,2,4,0,0,0,5,1,6,0,0
JJ Wetherholt,L,22,221,185,43,58,14,1,10,25,28,33,9,1
Masyn Winn,R,23,13,11,2,2,0,0,2,2,2,5,0,0
Andy Yerzy,L,26,204,182,20,37,5,0,6,17,20,67,1,1
