Name,B,Age,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS
Ji Hwan Bae,L,25,305,264,55,77,18,7,1,21,34,61,23,4
Joey Bart,R,28,18,13,1,3,0,0,0,2,4,6,0,0
Jase Bowen,R,24,145,126,20,37,9,3,3,17,19,36,7,3
Jesus Castillo,R,21,14,13,0,2,0,0,0,0,1,1,0,1
Tsung-Che Cheng,L,23,397,340,36,71,12,3,1,36,47,99,18,7
Billy Cook,R,26,375,331,45,82,17,2,8,46,34,102,13,2
Henry Davis,R,25,31,28,5,8,3,0,0,2,3,4,2,0
Cam Devanney,R,28,147,133,11,34,6,1,2,11,10,37,2,2
Rafael Flores,R,24,157,135,17,38,4,1,6,28,15,41,0,0
Matt Fraizer,L,27,220,197,29,60,18,1,3,20,19,44,14,2
Nick Gonzales,R,26,38,36,3,7,0,1,0,1,0,11,0,0
Matt Gorski,R,27,88,79,14,22,7,0,4,15,6,23,2,0
Abrahan Gutierrez,R,25,99,88,9,22,1,0,1,5,8,21,0,1
Darick Hall,L,29,205,180,18,38,4,0,4,23,22,58,0,1
Spencer Horwitz,L,27,33,31,5,10,2,0,1,2,1,7,0,0
Mike Jarvis,R,27,79,72,14,13,4,0,1,4,5,24,8,1
Bryce Johnson,B,29,28,25,1,2,1,0,0,1,3,9,1,0
Ryan Kreidler,R,27,58,49,2,8,2,0,1,1,8,16,5,1
Malcom Nunez,R,24,173,152,16,43,16,0,2,22,13,26,0,0
Liover Peguero,R,24,303,267,39,66,14,1,6,40,27,59,8,3
Anthony Prato,R,27,43,32,3,5,0,0,0,2,7,9,5,0
Endy Rodri­guez,B,25,29,26,4,4,0,0,2,4,3,5,0,0
Shawn Ross,R,25,125,109,13,20,4,0,3,16,14,54,0,1
Sammy Siani,L,24,104,92,17,24,3,0,4,12,11,21,3,3
Ronny Simon,B,25,248,211,35,60,9,1,7,30,33,41,24,6
Nick Solak,R,30,482,419,76,139,23,1,14,73,48,66,10,3
DJ Stewart,L,31,159,136,15,17,3,0,5,20,20,48,1,1
Brett Sullivan,L,31,253,232,28,47,9,4,4,29,19,38,6,1
Jack Suwinski,L,26,230,191,45,54,10,1,14,51,31,69,6,0
Jared Triolo,R,27,58,46,12,11,2,0,2,4,12,9,3,0
Nelson Velazquez,R,26,79,74,13,21,5,0,5,17,5,16,1,0
Alika Williams,R,26,391,351,50,94,11,3,9,42,27,70,5,4
Eli Wilson,R,26,35,34,3,10,2,0,1,7,1,10,0,0
Nick Yorke,R,23,440,401,55,115,21,3,7,59,36,97,17,6
